,SMILES,new name,old name,homo,lumo,bandgap
0,C1=C2C(OCCO2)=C([Si]1(C)C),0dc,34u,-5.557843762,-0.91925501,4.638588753
2,C1=CC2=C(C=C1)C3=C(N2C)C=C(C=C3),2dc,12d,-5.565435739,-0.942901703,4.622534035
3,C1=C(OC)C=C(S1),3dc,4u,-5.934503754,-0.26993694,5.664566814
4,C1=C2C(C(=N1)OC)=C(N=C2OC),4dc,26a,-6.034342326,-2.817929402,3.216412924
5,C1=Cc2c(C3=CC(=C(S3)C)Cl)c4c(c(c2S1)C5=CC(=C(S5)C)Cl)C=C(S4),5dc,17d,-5.427854976,-1.863843819,3.564011157
6,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(\C3=CC=CC=C3)/C4=CC=C(C=C4),6dc,23u,-5.492726918,-1.573797666,3.918929252
7,C1=C2C(C(=C(S2)C)F)=C(S1),7dc,20a,-5.677818759,-1.127530951,4.550287808
8,C1=C2C(SCCS2)=C(S1),8dc,36u,-5.667668912,-0.578813371,5.088855541
9,C1=C(OC)C(OC)=C(S1),9dc,9u,-5.648974691,0.019809888,5.668784579
10,C1=C2C(N=C(C(=N2)C)C)=C(C3C1=NSN=3),10dc,14a,-6.329640276,-3.077634861,3.252005416
11,C1=CC2C(S1)=C(C3=CC=C(C=C3)C)C4=C(C=2C5=CC=C(C=C5)C)SC(=C4),11dc,11d,-5.285621066,-1.346038373,3.939582693
12,C=CC=C,12dc,60u,-6.485289399,-0.937677117,5.547612282
13,C1=CC2=C(S1)C1=C([Si]2(C)C)C=C(S1),13dc,5d,-5.468481574,-1.426611284,4.04187029
14,C1=CC2=C(S1)C3=C([Ge]2(C)C)C=C(S3),14dc,16d,-5.440208945,-1.365140765,4.07506818
15,C1=Cc2c(S1)c1c(s2)C=C(S1),15dc,61u,-5.762174053,-1.249220265,4.512953788
16,C1=C(OC)C=C(C(=C1)OC),16dc,15u,-5.505080887,-0.231215139,5.273865748
17,C1=CC(SC)=C(S1),17dc,50u,-5.64209021,-0.439001275,5.203088935
18,C1=CC=C2C(=C1)C(C)(C)C3=CC(=CC=C23),18dc,18d,-5.983266556,-1.058522878,4.924743678
19,C1=CC2=C(S1)C=C1C(=C2)SC(=C1),19dc,62u,-5.605327629,-1.317330362,4.287997268
20,C1=CC2=C(S1)C1=C(N2C)C=C(S1),20dc,3d,-5.269620772,-0.758109187,4.511511584
21,C1=CC(C2=C(C=CC=C2OC)OC)=C(S1),21dc,11u,-5.285621066,-1.346038373,3.939582693
22,C1=Cc2c(S1)c(OC)c3c(c2OC)SC(=C3),22dc,52u,-4.812551137,-0.996970725,3.815580412
23,C1=CC(=C(C#N)C#N)C=C(S1),23dc,41u,-6.442377045,-2.894855987,3.547521058
24,C1=C2C(OCCS2)=C(S1),24dc,35u,-5.692676175,-0.415898809,5.276777366
25,C1=CC2=C(S1)C=C(S2),25dc,9d,-6.010940535,-0.92004414,5.090896395
26,C1=CC(C)=C(S1),26dc,4d,-6.302428891,-0.399735246,5.902693645
27,C1=c2c(nc(c(n2)C)C)=C(S1),27dc,37u,-6.154997607,-2.126705799,4.028291809
28,C1=CC=C([Se]1),28dc,64u,-6.524310525,-0.634896036,5.889414489
29,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),29dc,53u,-5.855971697,-1.640057388,4.215914309
30,C1=Cc2c(C3=CC=C(S3)C)c4c(c(c2S1)C5=CC=C(S5)C)C=C(S4),30dc,6d,-5.197728293,-1.605362872,3.59236542
31,C1=CC2=C(c3c(N=C2S1)sc(c3F)F),31dc,28u,-6.21143402,-1.747542359,4.463891661
32,C1=C2C(N=S=N2)=C(C3=CSC=C13),32dc,39u,-5.359744879,-3.060056306,2.299688573
33,C1=C2SC(C)=CC2=C(S1),33dc,10d,-5.545843542,-0.951554924,4.594288618
34,C1=C2OCC(C)OC2=C(S1),34dc,7d,-5.853549884,-0.195813127,5.657736757
35,C1=C(F)c2c(S1)c3c(s2)C(F)=C(S3),35dc,30u,-6.10397626,-1.610968418,4.493007843
36,C1=CC=C(C=C1)/C(/C2=CC=CC=C2)=C(/C3=CC=CC=C3)\C4=CC=C(C=C4),36dc,19u,-5.492726918,-1.573797666,3.918929252
37,C1=CC=C(c2c1nn(n2)C),37dc,21a,-6.344089522,-1.46367319,4.880416331
38,C1=Cc2c(S1)c(SC)c3c(c2SC)SC(=C3),38dc,14d,-5.71849978,-1.64911878,4.069381
39,C1=CC2=C(S1)C3=C([Si]2(C4=CC=CC=C4)C5=CC=CC=C5)C=C(S3),39dc,44u,-5.515829384,-1.52732062,3.988508764
42,C1=CC=C([SiH2]1),42dc,55u,-6.49552088,-1.618451549,4.877069331
43,C1=C(OC)C=C(C(=C1)OC),43dc,2d,-5.505080887,-0.231215139,5.273865748
44,C1=NN=C(C=C1),44dc,58u,-6.327245675,-1.601281165,4.72596451
45,C1=CC2=C(S1)C3=C([Si]2(C)C)C=C(S3),45dc,43u,-5.468481574,-1.426611284,4.04187029
46,C1=CC(C2=CC(=CC(=C2)OC)OC)=C(S1),46dc,10u,-5.768187769,-0.928615726,4.839572043
47,C=C1C=C/C(/S1)=C/2\C=CC(S2)=C,47dc,24u,-4.968417951,-2.284450198,2.683967753
48,C1=CC2=C(S1)C3=C(C2=C(C#N)C#N)C=C(S3),48dc,38u,-6.220604257,-3.572337841,2.648266416
49,C1=C(F)C(OC)=C(C(=C1OC)F),49dc,8u,-5.676512613,-0.342128744,5.334383868
50,C1=CC=C(C2=C[Si]C=C12),50dc,56u,-5.502278114,-3.568256133,1.934021981
51,C1=CC=C2C(=C1)N(C)C(=O)/C/2=C\3/C(=O)N(C)C4=C3C=CC(=C4),51dc,42u,-5.807834757,-2.855290633,2.952544123
52,C1=C2C(SC(=N2)C)=C(S1),52dc,9a,-6.055757686,-1.188157917,4.867599769
53,C1=CC2=C(S1)C1=C(CO2)C=C(S1),53dc,63u,-5.323635371,-1.339453218,3.984182153
54,C1=CC2=C(S1)C3=C(C2(C)C)C=C(S3),54dc,1d,-5.368343677,-1.198307763,4.170035913
55,C1=C2C(N=CS2)=C(C2=C1N=CS2),55dc,11a,-6.371627444,-1.751624067,4.620003377
56,C1=CC(Cl)=C(S1)C2=C(Cl)C=C(S2),56dc,54u,-5.855971697,-1.640057388,4.215914309
57,C1=C(OC)C(OC)=C(C2C1=NSN=2),57dc,1a,-6.389478112,-2.157509086,4.231969026
58,C1=Cc2c(S1)c3c(s2)C=C(N3C),58dc,13d,-5.26447782,-0.698842791,4.565635029
59,C(\C1=CC=C(C=C1)C(=O)O)=C(/C2=CC=C(C=C2)C(=O)O),59dc,27u,-6.525535037,-2.750417955,3.775117082
60,C1=C2C(N(C1=O)C)=C(C(=O)N2C),60dc,19a,-6.432880271,-2.509379507,3.923500765
61,C1=C(OC)C(OC)=C(C=C1),61dc,14u,-5.566524194,0.139676039,5.706200234
62,C1=C2C(C(=O)N1C)=C(N(C2=O)C),62dc,17u,-5.655804748,-2.325920349,3.3298844
135,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1),135,380,-5.980817532,-1.078060653,4.902756879
137,c1sc(cc1)c1ccc(s1)c1sc(cc1)C=C,137,637,-5.285675489,-1.952308032,3.333367457
