Unit,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,fund bg,frequency
0,-8.41912090031485,-8.108638996894351,-4.3891419857949,-3.8990649410444,0.31048190342049864,0.4900770447505005,3.7194970110994507,183
1,-7.111695482817501,-6.908970664195,-3.33744916499745,-3.2191612741851,0.20272481862250036,0.1182878908123497,3.5715214991975506,3
2,-7.60136435679225,-6.59029813387445,-2.0972358685736,-1.47657138696815,1.0110662229178002,0.6206644816054501,4.49306226530085,5
3,-7.7294483462226005,-7.35646189134225,-3.5967464531388997,-2.6531100423750003,0.3729864548803503,0.9436364107638995,3.7597154382033504,11
4,-8.08306029494735,-6.865432448115,-3.39301481326955,-1.2088385694612,1.2176278468323494,2.18417624380835,3.4724176348454505,6
5,-7.711162295469001,-7.16881218003745,-2.4269834326095,-0.9471466794353499,0.5423501154315513,1.4798367531741503,4.74182874742795,5
6,-8.3596640239806,-8.07729148131675,-4.3675361460652,-3.8140021513781,0.2823725426638486,0.5535339946871001,3.7097553352515504,10
7,-8.0143515476961,-7.7754355869571,-2.57966651412505,-0.10435566166675,0.2389159607389999,2.4753108524583003,5.19576907283205,5
8,-7.972500437489201,-7.568901174427601,-2.34673705809705,-1.1155035187397,0.4035992630615999,1.23123353935735,5.222164116330551,5
9,-7.6640321765624,-7.2802428018172005,-2.0829498914223503,-1.5520285577118,0.3837893747451995,0.5309213337105503,5.19729291039485,4
10,-8.0147869298569,-7.66231785930425,-3.0507772234957002,-1.00004561197255,0.3524690705526501,2.05073161152315,4.61154063580855,3
11,-7.3044065117416,-7.17349253826605,-2.0609358809169,-0.44395374709075,0.13091397347555045,1.61698213382615,5.11255665734915,7
12,-7.9527449719429,-7.569336556588401,-3.7607222594502,-3.10038357844185,0.38340841535449943,0.66033868100835,3.808614297138201,2
13,-7.7680885129936,-7.497825036677001,-2.5430127784627,-0.9370512555818,0.2702634763165994,1.6059615228809,4.9548122582143,7
14,-7.22644589357335,-7.205656395395151,-2.04507164343275,-0.46194047260880006,0.02078949817819975,1.5831311708239497,5.160584751962401,2
15,-7.6755698038236,-7.480709075480551,-3.3473813205407,-2.47332442134965,0.19486072834304924,0.87405689919105,4.133327754939851,0
16,-8.2900573010227,-7.373496218383551,-4.33251509350585,-2.6610285554245503,0.9165610826391486,1.6714865380812998,3.0409811248777006,12
17,-8.0017254650329,-7.67837257648375,-3.8898402815124498,-3.15681999103555,0.3233528885491497,0.7330202904768996,3.7885322949713003,3
18,-7.3591013956921,-6.919338201899049,-3.5151395093739497,-2.95937418111275,0.43976319379305107,0.5557653282611996,3.4041986925250995,149
19,-7.78193910798405,-7.289385827194001,-3.6874147881255,-2.72726106663625,0.492553280790049,0.9601537214892502,3.6019710390685007,18
20,-7.5381523093211,-7.17196870070325,-3.38898752828215,-2.69493394119685,0.3661836086178498,0.6940535870853002,3.7829811724210995,72
21,-6.925406340765201,-6.7737028691114505,-1.7740190369497,-1.75815479946555,0.1517034716537502,0.01586423748415,4.99968383216175,2
22,-9.048737927601751,-7.2212485190288005,-3.26550226292525,-1.3706374649685,1.8274894085729505,1.8948647979567501,3.9557462561035504,4
23,-7.5823435986423,-7.3310464577055505,-1.91984484943265,-0.49424038666314996,0.2512971409367495,1.4256044627695001,5.411201608272901,7
24,-7.8527703432692,-7.393306106699951,-3.67389072975565,-3.0555664272645,0.4594642365692492,0.6183243024911498,3.7194153769443012,23
25,-6.966549954960801,-6.878357856013751,-3.15241174665745,-2.3748464188537,0.08819209894704994,0.77756532780375,3.725946109356301,1
26,-7.40756487246615,-7.244949635407351,-2.94827193601235,-0.48528784098169997,0.162615237058799,2.46298409503065,4.296677699395001,5
27,-7.652440126531101,-6.6313056911448,-3.1286017847387004,-1.92354559779945,1.0211344353863003,1.2050561869392504,3.5027039064061,19
28,-7.499294451469701,-7.132648249306,-2.8247050365003,-2.7329210347266497,0.36664620216370025,0.0917840017736502,4.3079432128057,4
29,-6.9246172105987505,-6.82317316713235,-2.13329095376485,-0.9535685663071499,0.10144404346640012,1.1797223874577,4.6898822133675,6
30,-8.39865793875725,-7.12394060609,-3.3514902396832498,-1.5731718038956501,1.27471733266725,1.7783184357875996,3.77245036640675,3
31,-6.660966100849301,-6.65048971760505,-1.5959477331825,-0.7264895580649,0.010476383244250265,0.8694581751176,5.05454198442255,6
32,-7.379346666169299,-6.7855942443783,-2.5007807088651,-0.01330636728945,0.5937524217909989,2.48747434157565,4.2848135355132,5
33,-8.22842351388445,-8.19669503891615,-2.4601268996004,0.21924212934785,0.031728474968300446,2.6793690289482504,5.73656813931575,8
34,-7.469634041765201,-6.9071747127817,-2.6523481235936,-0.2720050049598,0.5624593289835014,2.3803431186338,4.2548265891881,2
35,-7.4596746748369,-7.211860591186551,-2.9574965955443,-2.6793418175632,0.24781408365034885,0.2781547779811002,4.254363995642251,0
36,-7.4021225954561505,-6.739688637798951,-2.62015705507945,-1.05490376423335,0.6624339576571998,1.5652532908461,4.1195315827195005,5
37,-8.2834721458406,-7.6483039960034995,-2.2621912847467,-0.5079277133433,0.6351681498371002,1.7542635714034,5.3861127112568,3
38,-7.74014242054725,-7.0207550339804,-2.1188961310734,0.0210071892586,0.7193873865668499,2.139903320332,4.901858902907,5
39,-7.80381706156425,-7.019993115199,-1.1347691793551,-0.53935686307605,0.7838239463652501,0.59541231627905,5.8852239358439,5
40,-7.16445835842945,-6.9747677932459,-1.8821570811383999,-0.9808615855123001,0.18969056518355032,0.9012954956260998,5.092610712107501,6
41,-7.7846874578741,-7.576166614235951,-3.7738925698144,-2.8487599008845,0.2085208436381496,0.9251326689299,3.8022740444215506,2
42,-7.001380527824801,-6.688367965594651,-1.7609303607406501,0.29592381241875,0.31301256223015006,2.0568541731594,4.927437604854001,3
43,-7.777340383910601,-7.2889776564182505,-3.6073588933083998,-2.6620897994415,0.4883627274923503,0.9452690938668997,3.6816187631098507,17
44,-6.98143458258315,-6.9533252218265,-0.84314476577425,0.7497280808976,0.028109360756650048,1.59287284667185,6.11018045605225,4
46,-7.9601736800615495,-7.727870085889701,-3.8781665973260004,-3.16384052837845,0.23230359417184854,0.7143260689475506,3.8497034885637005,4
47,-7.782701026765451,-6.898684760646101,-1.57719908888305,-0.96872530778,0.8840162661193496,0.6084737811030501,5.321485671763051,13
48,-6.846955917666049,-6.63133290252985,-1.22687971774935,-0.47606318144975,0.21562301513619886,0.7508165362996,5.4044531847805,3
49,-6.915093225831249,-6.54670549502435,-0.44760007268744995,1.3405688844882502,0.3683877308068997,1.7881689571757002,6.0991054223368995,4
50,-7.6411201903503,-7.639297027551951,-1.74672601774455,-1.7449844891013502,0.0018231627983489318,0.0017415286431998744,5.892571009807401,3
51,-7.72065906885145,-7.49360727199425,-2.4357454985955997,-1.3853860356656,0.22705179685720012,1.0503594629299997,5.057861773398651,3
52,-7.3785847473879,-6.8909023045218,-3.5173708429480497,-2.73863542558715,0.48768244286609974,0.7787354173608998,3.3735314615737506,205
53,-8.269594339465101,-8.1329931865141,-1.7924139332435,-0.7231697690887999,0.13660115295100184,1.0692441641547001,6.340579253270599,2
54,-7.7268904760279,-6.94916187991385,-2.6709062881977004,-2.370111637855,0.7777285961140494,0.30079465034270036,4.2782555917161496,7
55,-7.41186427130405,-6.997598145302851,-3.67263900604335,-2.83115413475715,0.4142661260011993,0.8414848712862,3.3249591392595006,3
56,-7.5546424086614,-7.042088759859601,-3.3155440000322,-1.6567651787692501,0.5125536488017994,1.65877882126295,3.7265447598274006,9
57,-9.0629694819829,-6.60945494894965,-2.6533821562255,-1.6758403596893001,2.4535145330332506,0.9775417965362001,3.9560727927241497,9
58,-8.444944504727301,-7.3031003652592,-3.6041751612575506,-1.4898505428725501,1.141844139468101,2.1143246183850004,3.69892520400165,7
59,-7.82656577946605,-7.12494742733685,-2.6678041903020002,-0.9205611562415,0.7016183521292003,1.7472430340605003,4.45714323703485,10
60,-7.3237265951271,-6.6977014706668,-2.6240754945266502,-1.04265864096085,0.6260251244603001,1.5814168535658002,4.07362597614015,5
61,-6.857704414760801,-6.7180011639141,-2.00980568840795,-0.40561290555530005,0.13970325084670066,1.6041927828526497,4.70819547550615,2
62,-8.029970882714801,-7.42111614222105,-3.8963710139244503,-3.8405060404168005,0.6088547404937517,0.05586497350764974,3.5247451282965994,6
63,-6.6843951033773505,-6.6176455758497,-1.8094482602848,-0.73685709576895,0.06674952752765062,1.0725911645158501,4.8081973155649,11
64,-7.671977900997001,-7.3010322999954,-1.12783027616735,-0.8245321784000501,0.37094560100160034,0.3032980977672999,6.1732020238280505,5
65,-7.0861712036406,-6.56368539929555,-3.3531773455563503,-1.5689812505979501,0.5224858043450498,1.7841960949584001,3.2105080537391997,9
66,-6.995611714194199,-6.802193189258801,-1.06486313116165,-0.15698248035345,0.19341852493539857,0.9078806508082001,5.73733005809715,4
67,-7.10116467680315,-6.65163259577715,-1.5700969173850001,-1.467782109597,0.4495320810260006,0.10231480778800006,5.081535678392149,3
68,-7.502668663215901,-6.823445280982851,-2.43707885646305,-0.06802846262500001,0.67922338223305,2.36905039383805,4.386366424519801,4
69,-7.46084476439405,-6.919310990514,-3.5931545503123,-2.8298207768897004,0.5415337738800501,0.7633337734225996,3.3261564402017,284
70,-8.8512649062939,-8.09470676774875,-4.7579650987626,-2.37596208564075,0.7565581385451505,2.3820030131218504,3.33674166898615,3
71,-7.5254990152728505,-7.279263191955401,-1.5840835693007,-0.23336483818880002,0.2462358233174493,1.3507187311119,5.695179622654701,2
72,-7.705747229844051,-6.867799838614349,-3.5040644756586,-1.8133394883469502,0.8379473912297017,1.6907249873116499,3.363735362955749,3
73,-8.7754539875446,-6.648421652341249,-2.2943279304907502,-1.55113058200515,2.12703233520335,0.7431973484856003,4.354093721850499,3
74,-7.41823173540575,-6.82796237090115,-1.6478670558579,-0.13134935563635,0.5902693645046,1.51651770022155,5.18009531504325,2
75,-7.4598379431472,-7.4339327045795995,-1.9148923773535502,-1.67896966897005,0.025905238567600186,0.23592270838350027,5.519040327226049,2
76,-7.916118447665601,-7.468899334368851,-3.7755796756875,-3.1373638507248,0.44721911329674935,0.6382158249627001,3.693319658681351,5
77,-8.0893461248939,-7.0054622355823,-1.35319496715145,-1.07765248213515,1.0838838893116005,0.27554248501629997,5.65226726843085,5
78,-7.51521311172395,-7.09898776599915,-3.7270345647583003,-2.9491699117190002,0.41622534572480063,0.7778646530393001,3.3719532012408493,725
79,-7.43308915164305,-6.7302462871866,-2.4740047059759,-0.9499494520955,0.70284286445645,1.5240552538804,4.2562415812107,10
80,-7.3783670563075,-6.750409923508649,-2.5009983999455003,0.41159941026630004,0.6279571327988505,2.9125978102118,4.249411523563149,5
81,-7.9461053939907,-6.9982784299291,-3.00231374672165,-1.56375666466835,0.9478269640615995,1.4385570820532998,3.9959646832074505,18
82,-7.86433518191545,-7.43793277818195,-3.6213455452241003,-3.06392032247485,0.42640240373350036,0.5574252227492504,3.8165872329578496,4
83,-7.7861024498967,-7.6153782200930005,-3.0558929638851002,-2.9401357318824,0.1707242298036995,0.11575723200270005,4.5594852562079,4
84,-8.135278942858301,-7.803109565552949,-4.081217952569101,-3.5790046300863003,0.3321693773053518,0.5022133224828003,3.721891612983849,4
85,-7.8301032595225495,-7.48294040905465,-3.7021905702076503,-3.2721690522625,0.34716285046789963,0.4300215179451503,3.7807498388469996,6
86,-7.8005516953582505,-6.89141932083775,-3.2213381849891003,-1.0757204737966,0.9091323745205004,2.1456177111925,3.67008113584865,4
87,-7.59613977086265,-7.35629862303195,-3.4957377918333,-2.7580371431278,0.23984114783069987,0.7377006487054998,3.8605608311986503,1
88,-7.81491930666465,-7.418150101250601,-3.7861104817018503,-3.1517314620312,0.39676920541404925,0.6343790196706505,3.6320396195487503,219
89,-9.65816410718155,-7.50623335465745,0.1574994966694,2.2188707597471002,2.1519307525241,2.0613712630777004,7.66373285132685,3
90,-7.41317041778645,-6.87422172548615,-3.57767127221885,-2.7822824872073504,0.5389486923003002,0.7953887850114998,3.2965504532672996,833
91,-7.6303444818705,-6.8091593038316,-0.8950096656795499,-0.2247116177429,0.8211851780388999,0.6702980479366498,5.91414963815205,4
92,-8.08306029494735,-6.865432448115,-3.39301481326955,-1.2088385694612,1.2176278468323494,2.18417624380835,3.4724176348454505,4
93,-9.32145042857285,-8.89651743963205,-3.7746544885958,-2.71877111450065,0.42493298894080134,1.05588337409515,5.121862951036249,8
94,-8.2331855062682,-7.0743070397588,-2.6410826101829,-0.2044119244956,1.1588784665093996,2.4366706856873,4.433224429575899,5
95,-7.0992870912347,-6.6409929442225994,-2.60845615950795,-0.6028410243977,0.4582941470121007,2.00561513511025,4.032536784714649,7
