Unit,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,fund bg,frequency
0,-6.9261138367765,-5.557843762307351,-0.9192550097591,1.4424210987304,1.368270074469149,2.3616761084895,4.638588752548251,10
1,-6.930195544534,-5.66690699358775,-1.4393190008346999,0.2508345473909,1.2632885509462506,1.6901535482255998,4.22758799275305,1
2,-5.9151564593989,-5.5654357387363005,-0.9429017033675501,-0.02402765299915,0.3497207206625994,0.9188740503684001,4.6225340353687505,5
3,-6.65636737677585,-5.93450375416945,-0.269936939696,1.2613565426077,0.7218636226064001,1.5312934823037,5.66456681447345,12
4,-6.0890916326385,-6.0343423259179,-2.81792940162285,0.8827101196369501,0.0547493067205993,3.7006395212598,3.2164129242950503,11
5,-6.4051790813793,-5.4278549759235,-1.86384381899975,-0.991038643521,0.9773241054558,0.8728051754787499,3.5640111569237503,137
6,-6.67557861462115,-5.4927269178827,-1.5737976657518,-0.63133134454505,1.1828516967384504,0.94246632120675,3.9189292521308996,12
7,-6.61195839637425,-5.6778187589928,-1.1275309509318001,0.3533126234892,0.9341396373814499,1.4808435744210002,4.550287808061,8
8,-5.86108743730455,-5.66766891236915,-0.57881337139855,0.4723352216979,0.19341852493540035,1.0511485930964501,5.0888555409705996,5
9,-6.0481657095233,-5.6489746908398,0.0198098883164,1.31379288159905,0.39919101868349927,1.29398299328265,5.668784579156201,11
10,-6.8732693270094,-6.3296402764805,-3.07763486054005,-1.2802956666025,0.5436290505288994,1.79733919393755,3.25200541594045,5
11,-6.2506728370654,-5.28562106626715,-1.3460383728833,-0.69059774118395,0.96505177079825,0.6554406316993501,3.9395826933838496,84
12,-8.9528177953005,-6.4852893989665,-0.9376771174379499,1.87886450354735,2.467528396334001,2.8165416209852996,5.54761228152855,6
13,-6.8641263016325995,-5.4684815738031505,-1.42661128401635,0.47761423039760004,1.395644727829449,1.9042255144139502,4.0418702897868,12
14,-7.4216603699220505,-6.26278190341265,-1.5658519413172,-1.1703616710005,1.1588784665094005,0.39549027031670003,4.696929962095449,13
